Text: . | Href: tel:0947142999 | Parent: div | Classes: ['echbay-phonering-alo-event'] | Parent Classes: ['phonering-alo-alo']
Text: . | Href: sms:0947142999 | Parent: div | Classes: ['echbay-phonering-sms-event'] | Parent Classes: ['phonering-alo-sms']
Text: . | Href: https://zalo.me/0947142999 | Parent: div | Classes: ['echbay-phonering-zalo-event'] | Parent Classes: ['phonering-alo-zalo']
Text: . | Href: https://www.facebook.com/giacongvietnam | Parent: div | Classes: ['echbay-phonering-messenger-event'] | Parent Classes: ['phonering-alo-messenger']
Text: Skip to content | Href: #main | Parent: body | Classes: ['skip-link', 'screen-reader-text'] | Parent Classes: ['archive', 'category', 'category-tin-tuc', 'category-32', 'wp-theme-flatsome', 'wp-child-theme-thiet-ke-web', 'theme-flatsome', 'woocommerce-no-js', 'lightbox', 'nav-dropdown-has-shadow', 'nav-dropdown-has-border']
Text:  | Href: https://giacong.vn/ | Parent: div | Classes: [] | Parent Classes: ['flex-col', 'logo']
Text:  | Href: # | Parent: li | Classes: ['is-small'] | Parent Classes: ['nav-icon', 'has-icon']
Text: Home | Href: https://giacong.vn/ | Parent: li | Classes: ['nav-top-link'] | Parent Classes: ['menu-item', 'menu-item-type-custom', 'menu-item-object-custom', 'menu-item-home', 'menu-item-4618', 'menu-item-design-default', 'has-icon-left']
Text: Về Giacong.vn | Href: https://giacong.vn/gioi-thieu-ve-gia-cong/ | Parent: li | Classes: ['nav-top-link'] | Parent Classes: ['menu-item', 'menu-item-type-post_type', 'menu-item-object-page', 'menu-item-5498', 'menu-item-design-default', 'has-icon-left']
Text: Sản Phẩm | Href: https://giacong.vn/san-pham/ | Parent: li | Classes: ['nav-top-link'] | Parent Classes: ['menu-item', 'menu-item-type-post_type', 'menu-item-object-page', 'menu-item-1742', 'menu-item-design-container-width', 'menu-item-has-block', 'has-dropdown', 'has-icon-left']
Text: Gia công sốt chấm | Href: https://giacong.vn/gia-cong-sot-cham/ | Parent: h4 | Classes: [] | Parent Classes: []
Text: Gia công đồ uống | Href: https://giacong.vn/gia-cong-do-uong/ | Parent: h4 | Classes: [] | Parent Classes: []
Text: Gia công bột pha chế | Href: https://giacong.vn/gia-cong-bot-pha-che/ | Parent: h4 | Classes: [] | Parent Classes: []
Text: Gia công đồ uống | Href: https://giacong.vn/gia-cong-do-uong/ | Parent: h4 | Classes: [] | Parent Classes: []
Text: Gia công dược liệu | Href: https://giacong.vn/gia-cong-duoc-lieu/ | Parent: h4 | Classes: [] | Parent Classes: []
Text: Gia công thực phẩm | Href: https://giacong.vn/gia-cong-thuc-pham/ | Parent: h4 | Classes: [] | Parent Classes: []
Text: Gia công mỹ phẩm | Href: https://giacong.vn/gia-cong-my-pham/ | Parent: h4 | Classes: [] | Parent Classes: []
Text: Gia công trà | Href: https://giacong.vn/gia-cong-tra/ | Parent: h4 | Classes: [] | Parent Classes: []
Text: Gia công cà phê | Href: https://giacong.vn/gia-cong-ca-phe/ | Parent: h4 | Classes: [] | Parent Classes: []
Text: Gia công đóng gói | Href: https://giacong.vn/gia-cong-dong-goi/ | Parent: h4 | Classes: [] | Parent Classes: []
Text: Gia công bột | Href: https://giacong.vn/gia-cong-bot/ | Parent: h4 | Classes: [] | Parent Classes: []
Text: Gia công rượu | Href: https://giacong.vn/gia-cong-ruou/ | Parent: h4 | Classes: [] | Parent Classes: []
Text: Gia công sữa | Href: https://giacong.vn/gia-cong-sua/ | Parent: h4 | Classes: [] | Parent Classes: []
